label	drawings	engraving	iconography	painting	sculpture	total
Cemetery	0	0	0	0	1
Personal protective equipment	1	0	0	2	1
Food	1	0	0	2	0
Green	3	0	1	4	14
Knee	2	0	0	0	2
Fashion illustration	44	2	0	0	0
Games	10	6	15	13	30
Foal	0	0	0	1	0
Indian rhinoceros	0	1	0	0	2
Tea party	1	0	0	0	0
Triangle	1	0	0	0	0
Wildflower	3	1	0	1	0
Trumpet	0	0	0	0	2
Outdoor furniture	0	0	0	0	3
Drawing	776	451	13	113	28
Gunboat	2	0	0	0	0
Butterfly	0	0	0	0	1
Cash	0	0	10	0	0
Stage	0	0	0	1	0
Battle	5	5	0	11	0
Tundra	0	0	0	1	0
Paint	18	1	3	10	0
Mare	1	0	0	1	3
Robe	0	0	0	3	1
Tropical and subtropical coniferous forests	0	3	0	2	0
Cart	5	2	0	3	1
Meditation	0	0	0	0	6
Meadow	0	0	0	4	2
Rodent	1	0	0	0	0
Puffin	0	0	0	0	1
Violin family	0	0	0	2	1
Reef	0	0	0	0	1
Horse	24	12	0	114	44
Animal figure	1	0	0	0	70
Tints and shades	1	0	0	0	0
Whiteboard	1	0	0	0	0
Army men	2	0	0	0	0
Violin	0	0	0	1	0
Coral	0	0	0	0	1
Calm	1	0	0	20	0
Norwegian forest cat	1	0	0	0	0
Outerwear	8	1	5	20	10
Publication	1	0	0	0	0
Bishop	0	0	3	0	0
Performing arts	0	0	0	2	10
Foot	1	0	0	0	0
Pear	0	0	0	0	1
Parrot	1	0	0	0	0
Graphics	4	1	1	2	2
Classical architecture	14	10	0	0	9
Darkness	1	2	1	9	2
Classic	11	1	0	2	0
Extreme sport	0	0	0	1	1
Storm	0	0	0	5	0
Tall ship	3	1	0	3	0
Fir	0	1	0	1	0
Chess	0	0	0	0	1
Dress	6	1	0	119	7
Blue whale	1	0	0	0	0
Shoulder	3	0	0	0	17
Chin	73	5	12	24	54
Daydream	0	0	0	2	0
Castle	2	1	0	1	1
Badlands	0	0	0	0	1
Trumpeter	1	0	0	0	2
Field	0	0	0	3	0
Sousaphone	0	0	0	0	1
Protected cruiser	2	0	0	0	0
Winter	11	4	0	6	3
Family car	3	0	0	0	0
Monochrome	60	48	0	0	10
Tire	0	0	0	0	2
Vegetarian food	2	0	0	0	0
Guitarist	1	0	0	0	0
Palace	7	4	0	7	1
Pine family	2	2	0	0	0
Plush	0	0	0	0	1
Water feature	0	0	0	0	31
g	1	0	0	1	0
Indoor games and sports	0	0	0	0	1
Symmetry	0	2	0	0	2
Night	0	0	0	3	2
Horizon	1	0	0	19	0
Zoo	0	0	0	0	6
Dreadnought	0	1	0	0	0
Primate	0	0	0	0	3
Egyptian temple	1	0	0	0	1
Batholith	0	1	0	0	0
Bird	10	12	0	2	8
Smile	5	1	5	63	4
Sculptor	0	0	0	0	210
