label	drawings	engraving	iconography	painting	sculpture	total
Steam engine	0	1	0	0	0	1
Infantry	0	0	0	1	0	1
Construction paper	0	0	0	1	0	1
Mammal	0	0	0	3	2	5
Graffiti	0	0	0	4	0	4
Flagship	0	0	0	1	0	1
Vegetable	0	0	0	0	1	1
Victorian fashion	1	3	0	119	0	123
Polish greyhound	1	0	0	0	0	1
Needlework	0	0	8	0	0	8
Room	4	5	2	20	1	32
Nature	0	0	0	46	2	48
Wave	0	0	0	8	0	8
Cello	0	0	0	1	0	1
Brown bear	0	0	0	0	2	2
Pianist	1	0	0	3	0	4
Artist	1	0	1	244	0	246
Headland	0	0	0	6	0	6
Terrain	1	1	0	10	1	13
Kneeling	1	0	0	0	1	2
Cowboy hat	0	1	0	0	0	1
Bishop	0	0	3	0	0	3
Steam frigate	0	1	0	0	0	1
Lupin	0	0	0	1	0	1
Door	0	0	0	1	1	2
Violinist	0	0	0	1	0	1
Plantation	0	1	0	0	0	1
Haze	0	0	0	3	0	3
Eastern Screech owl	0	1	0	0	0	1
Cumulus	0	0	0	4	0	4
Jaw	31	4	0	9	15	59
Ceremony	0	0	4	1	0	5
Winter storm	2	0	0	4	0	6
Tavern	0	0	0	2	0	2
Caravel	0	2	0	0	0	2
Goose	0	0	0	0	1	1
High priest	0	0	69	7	0	76
Ox	0	0	0	0	1	1
Writing	2	0	0	0	0	2
Pendant	0	0	1	10	0	11
Yard	0	0	0	0	5	5
Bovine	0	0	0	2	2	4
Coastal and oceanic landforms	0	0	0	4	0	4
State park	0	0	0	1	0	1
Musician	0	0	0	3	0	3
Barechested	1	0	0	0	1	2
Longhaired whippet	0	0	0	1	0	1
Guard dog	0	0	0	1	0	1
Cowboy	0	1	0	0	0	1
Combat	0	0	0	1	0	1
Puzzle	0	0	1	0	0	1
Human body	3	0	0	0	6	9
Mustang horse	0	0	0	0	1	1
Frog	0	1	0	0	0	1
Muscle	7	0	0	2	21	30
Fruit	0	0	0	1	0	1
Parish	0	3	0	0	0	3
Hair accessory	0	0	0	10	1	11
Marine mammal	0	0	0	0	1	1
Public space	1	0	0	0	0	1
Performing arts	0	0	0	2	2	4
Carnivore	1	0	0	2	7	10
Paper	3	11	1	3	1	19
Beauty	0	0	0	2	0	2
Art gallery	0	0	2	0	2	4
Car	0	1	0	0	0	1
Dog	0	0	0	3	2	5
Tortoise	0	1	0	0	0	1
Horizon	0	0	0	19	0	19
Water bird	0	0	0	0	1	1
Small to medium-sized cats	0	1	0	0	1	2
Pasture	0	0	0	5	1	6
Clay	0	0	0	0	2	2
Common snapping turtle	0	1	0	0	0	1
Geisha	0	0	1	2	0	3
Lavender	0	0	0	1	0	1
Water	2	6	0	15	7	30
Retro style	0	3	1	0	0	4
Rainbow	0	0	0	3	0	3
Wind instrument	0	0	0	1	0	1
Plush	0	0	0	0	1	1
Box turtle	0	1	0	0	0	1
Ivory	0	0	0	0	2	2
Viol	0	0	0	1	0	1
Pear	0	0	0	0	1	1
Horse racing	0	0	0	1	0	1
Botanical garden	0	0	0	0	5	5
Terrapin	0	1	0	0	0	1
Horse tack	0	0	0	2	0	2
Stone carving	0	0	11	0	206	217
Map	0	2	0	0	0	2
Airliner	0	0	0	1	0	1
Silver	0	0	0	0	2	2
Toy	0	0	0	96	13	109
Shadow	0	0	0	0	2	2
Shipwreck	0	0	0	1	0	1
Geomungo	1	0	0	0	0	1
Turquoise	0	0	1	0	1	2
Conquistador	0	7	2	130	1	140
Ancient roman architecture	1	2	0	0	0	3
Storm	0	0	0	5	0	5
Duel	0	0	0	2	0	2
Tundra	0	0	0	1	0	1
Barn	0	0	0	1	0	1
Grazing	0	0	0	1	0	1
Medieval architecture	4	21	0	8	0	33
Tree	17	12	2	47	73	151
Flautist	1	0	0	1	0	2
Stuffed toy	0	0	0	0	2	2
Postage stamp	0	0	1	0	0	1
Clip art	0	3	0	0	0	3
Visual arts	34	48	327	1116	32	1557
Cityscape	2	0	0	5	0	7
Road	1	0	0	0	0	1
Wall	1	0	0	0	3	4
Hall	0	0	0	1	0	1
Classical sculpture	0	0	0	0	263	263
Biome	1	0	0	9	0	10
First-rate	1	0	0	1	0	2
Lawn ornament	0	0	0	0	30	30
Comics	0	2	0	0	0	2
Monarch	2	0	15	80	0	97
Grove	0	1	0	0	0	1
Anime	0	0	0	0	1	1
