label	drawings	engraving	iconography	painting	sculpture	total
Eye	5	1	3	96	1	106
Knight	12	8	0	0	0	20
Dromon	0	1	0	0	0	1
Clothes hanger	0	0	0	0	1	1
Drawing	776	451	13	113	28	1381
Tints and shades	1	0	0	0	0	1
Science	0	0	0	0	1	1
Memorial	0	1	1	0	95	97
Transport	1	1	0	0	1	3
Deacon	0	0	2	0	0	2
Blessing	0	1	37	0	0	38
Space	1	0	0	3	6	10
Muridae	1	0	0	0	0	1
Vehicle	60	59	0	65	12	196
Chariot	3	1	0	1	0	5
Natural environment	2	4	0	26	1	33
Shoe	4	1	0	1	6	12
Mushroom	2	0	0	0	1	3
Collage	0	0	1	1	1	3
Toddler	0	0	0	10	0	10
Horse and buggy	6	1	0	1	0	8
Egret	1	0	0	0	0	1
Mannequin	0	0	0	0	21	21
Llama	1	0	0	0	1	2
Russian spaniel	1	0	0	0	0	1
Shack	2	0	0	0	0	2
Amusement park	0	0	0	0	1	1
Stock photography	137	317	198	29	33	714
Modern art	68	37	289	103	46	543
Black hair	11	1	0	6	1	19
Dinner	1	0	0	0	0	1
Hunting dog	3	4	0	0	0	7
Bansuri	0	0	1	0	0	1
Delphinium	0	0	0	1	0	1
Tide	0	0	0	4	0	4
Technology	3	0	0	1	11	15
Horn	0	0	0	0	12	12
Carriage	5	0	0	0	0	5
Yellow	2	0	17	7	2	28
Whiteboard	1	0	0	0	0	1
Evening	0	0	0	12	0	12
Underwater	0	0	0	0	1	1
Cloud	3	1	0	24	8	36
Puffin	0	0	0	0	1	1
Formal wear	1	0	0	17	0	18
Coca-cola	1	0	0	0	0	1
Marines	0	0	0	1	0	1
Family	5	0	0	3	0	8
Rabbit	1	1	0	0	2	4
Sailing ship	6	7	0	4	0	17
Bear	1	0	0	0	0	1
Screech owl	0	1	0	0	0	1
Ballet master	0	0	0	1	0	1
Backyard	0	0	0	0	1	1
Picture frame	34	30	858	200	0	1122
Wood stain	0	0	7	0	1	8
Antelope	0	0	0	0	3	3
Schooner	0	2	0	4	0	6
Lilac	1	0	0	1	0	2
Vault	0	3	0	0	0	3
Fountain	0	0	0	0	13	13
Foot	1	0	0	0	0	1
Clipper	3	0	0	4	0	7
Snowy owl	0	0	0	0	1	1
Preacher	0	0	13	3	0	16
Coloring book	8	2	0	0	0	10
Green	3	0	1	4	13	21
Clàrsach	0	0	0	2	0	2
Coat	3	0	0	3	0	6
Bull	0	1	0	0	4	5
heater	0	0	0	0	1	1
Photomontage	0	0	0	0	1	1
Flowerpot	2	0	0	0	5	7
Triangle	1	0	0	0	0	1
Reindeer	0	0	0	0	2	2
California sea lion	0	0	0	0	1	1
Place of worship	3	3	47	1	2	56
Town	8	2	0	6	0	16
Album cover	0	0	0	3	0	3
Personal protective equipment	1	0	0	2	1	4
Equestrianism	3	0	0	3	0	6
Close-up	0	0	3	0	3	6
Concrete	0	0	0	0	2	2
Abseiling	0	0	0	0	1	1
Trophy	0	0	0	0	22	22
Water feature	0	0	0	0	29	29
Flip (acrobatic)	0	0	0	0	3	3
Plant stem	3	1	0	0	1	5
Vestment	0	0	11	0	0	11
Astronaut	0	0	1	0	0	1
Crucifix	0	0	4	0	2	6
Globe	0	0	0	0	2	2
Watercraft	19	32	0	26	0	77
Headstone	0	0	0	0	2	2
Automotive wheel system	0	0	0	0	4	4
Pack animal	2	0	0	0	0	2
Pointer	2	0	0	0	1	3
Makeup mirror	0	0	0	2	0	2
Electric blue	0	0	0	1	1	2
Waterfall	0	0	0	4	0	4
Domestic pig	0	0	0	0	1	1
Fictional character	219	168	62	138	125	712
Aquarium decor	0	0	0	0	3	3
Wetland	0	1	0	2	0	3
Superhero	1	0	0	0	0	1
Daydream	0	0	0	2	0	2
Rodent	1	0	0	0	0	1
Tabby cat	0	2	0	0	0	2
Tugboat	0	1	0	0	0	1
Organism	37	45	4	3	39	128
Brass instrument	0	0	0	0	5	5
Floral design	1	0	0	0	0	1
National historic landmark	0	0	0	0	44	44
Duck	3	1	0	0	0	4
Rug	0	0	4	0	0	4
Plane	0	0	0	1	0	1
Heart	0	0	0	0	1	1
Overhead power line	0	0	0	0	1	1
Icon	0	1	1151	2	0	1154
Perennial plant	2	0	0	0	4	6
Wood	7	4	62	1	76	150
Woodland	1	8	0	5	1	15
Desert	0	0	0	0	1	1
Lymnaeidae	0	1	0	0	0	1
Mammal	2	0	0	3	4	9
Domestic rabbit	0	0	0	0	2	2
Coal	1	0	0	0	0	1
Needlework	0	0	8	0	0	8
Steam frigate	3	1	0	0	0	4
Plantation	0	1	0	0	0	1
State park	0	0	0	1	0	1
Longhaired whippet	0	0	0	1	0	1
Cowboy	3	1	0	0	0	4
Combat	0	0	0	1	0	1
Human body	9	0	0	0	18	27
Pine family	2	2	0	0	0	4
Hair accessory	2	0	0	10	2	14
Paper	44	19	13	3	1	80
Penguin	1	0	0	0	1	2
Dog	8	1	0	3	5	17
Gunboat	2	0	0	0	0	2
Tortoise	1	2	0	0	1	4
Clay	0	0	0	0	9	9
Guitar	1	0	0	0	0	1
Common snapping turtle	0	1	0	0	0	1
Water	9	16	0	15	34	74
Retro style	5	4	1	0	0	10
Rainbow	0	0	0	3	0	3
Viol	0	0	0	1	0	1
Curtain	2	0	0	0	0	2
Puppy	1	0	0	0	0	1
Silver	1	0	3	0	6	10
Map	1	3	0	0	0	4
Electrical supply	0	0	0	0	1	1
Garden roses	7	0	0	0	0	7
Geomungo	1	0	0	0	0	1
Shipwreck	0	0	0	1	0	1
Italian greyhound	0	0	0	0	1	1
Barn	0	0	0	1	0	1
Grazing	0	0	0	1	0	1
Tiger	0	1	0	0	0	1
Tooth	0	0	0	0	1	1
Road	1	0	0	0	0	1
Canoe	2	0	0	0	0	2
Crane-like bird	0	1	0	0	0	1
Peony	1	0	0	0	0	1
Soldier	2	0	0	0	1	3
Mansion	0	0	0	2	2	4
Vernissage	0	0	1	0	0	1
Lip	2	0	1	2	2	7
